timestamp;activity;cocina_acs712_airfryer_current_last;cocina_acs712_airfryer_current_max;cocina_acs712_cafetera_current_last;cocina_acs712_cafetera_current_max;cocina_dht11_cocina_humidity_mean;cocina_dht11_cocina_humidity_min;cocina_dht11_cocina_humidity_max;cocina_dht11_cocina_humidity_std;cocina_dht11_cocina_temperature_mean;cocina_dht11_cocina_temperature_min;cocina_dht11_cocina_temperature_max;cocina_dht11_cocina_temperature_std;cocina_hc_sr04_cocina_distance_last;cocina_hc_sr04_cocina_distance_min;cocina_hc_sr04_cocina_distance_max;cocina_pir_cocina_movement_last;cocina_pir_cocina_movement_sum;cocina_pir_cocina_movement_max;cocina_yf_s201_cocina_flow_state_last;cocina_yf_s201_cocina_flow_state_sum;cocina_yf_s201_cocina_flow_state_max;comedor_pir_comedor_movement_last;comedor_pir_comedor_movement_sum;comedor_pir_comedor_movement_max
2026-04-25 02:10:00;sin_act_cocina_comedor;0;0;0.178;0.206;43;43;43;0;27;27;27;0;151.143;62.872;151.623;0;0;0;0;0;0;1;30;1
2026-04-25 02:10:30;sin_act_cocina_comedor;0;0.284;0;0.204;43;43;43;0;27;27;27;0;150.714;150.646;173.078;0;0;0;0;0;0;0;19;1
2026-04-25 02:11:00;sin_act_cocina_comedor;0;0.28;0;0.199;42.3;42;43;0.466092;27;27;27;0;150.663;63.832;174.415;0;0;0;0;0;0;1;30;1
2026-04-25 02:11:30;sin_act_cocina_comedor;0;0.317;0;0.192;42;42;42;0;27;27;27;0;151.52;150.32;151.572;0;0;0;0;0;0;1;25;1
2026-04-25 02:12:00;sin_act_cocina_comedor;0;0.311;0.208;0.208;42;42;42;0;27;27;27;0;128.162;63.729;151.623;0;0;0;0;0;0;1;24;1
2026-04-25 02:12:30;sin_act_cocina_comedor;0;0.297;0;0.201;42;42;42;0;27;27;27;0;151.452;62.94;194.721;0;0;0;0;0;0;1;19;1
2026-04-25 02:13:00;sin_act_cocina_comedor;0;0.291;0.199;0.211;42;42;42;0;27;27;27;0;138.349;137.269;152.035;0;0;0;0;0;0;0;27;1
2026-04-25 02:13:30;sin_act_cocina_comedor;0;0.292;0.18;0.201;42;42;42;0;27;27;27;0;151.126;150.594;151.126;0;0;0;0;0;0;1;23;1
2026-04-25 02:14:00;sin_act_cocina_comedor;0;0.317;0.175;0.216;42;42;42;0;27;27;27;0;151.023;148.33;151.486;0;0;0;0;0;0;1;25;1
2026-04-25 02:14:30;sin_act_cocina_comedor;0;0.298;0.179;0.199;42;42;42;0;27;27;27;0;150.165;62.923;151.452;0;0;0;0;0;0;1;25;1
2026-04-25 02:15:00;sin_act_cocina_comedor;0;0.283;0.205;0.205;42;42;42;0;27;27;27;0;64.57;64.57;151.452;0;0;0;0;0;0;1;25;1
2026-04-25 02:15:30;sin_act_cocina_comedor;0;0.273;0.182;0.198;42;42;42;0;27;27;27;0;146.993;63.352;151.469;0;0;0;0;0;0;0;22;1
2026-04-25 02:16:00;sin_act_cocina_comedor;0;0.299;0.188;0.197;42;42;42;0;27;27;27;0;150.646;64.69;151.829;0;0;0;0;0;0;1;22;1
2026-04-25 02:16:30;sin_act_cocina_comedor;0.262;0.286;0;0.211;42;42;42;0;27.166667;27;28;0.379049;150.543;63.781;151.537;0;0;0;0;0;0;1;25;1
2026-04-25 02:17:00;sin_act_cocina_comedor;0;0.28;0;0.207;42;42;42;0;28;28;28;0;150.594;57.933;151.417;0;0;0;0;0;0;1;20;1
2026-04-25 02:17:30;sin_act_cocina_comedor;0;0.284;0.181;0.205;42;42;42;0;28;28;28;0;151.64;63.729;151.64;0;0;0;0;0;0;1;29;1
2026-04-25 02:18:00;sin_act_cocina_comedor;0;0.283;0;0.208;41.533333;41;42;0.507416;28;28;28;0;150.165;39.119;151.64;0;0;0;0;0;0;0;26;1
2026-04-25 02:18:30;sin_act_cocina_comedor;0.262;0.289;0.192;0.217;41;41;41;0;28;28;28;0;151.692;62.923;157.849;0;0;0;0;0;0;1;25;1
2026-04-25 02:19:00;sin_act_cocina_comedor;0;0.294;0.175;0.217;41;41;41;0;28;28;28;0;113.91;113.91;151.726;0;0;0;0;0;0;0;30;1
2026-04-25 02:19:30;sin_act_cocina_comedor;0;0.312;0;0.226;41;41;41;0;28;28;28;0;151.212;95.405;184.757;0;0;0;0;0;0;1;25;1
2026-04-25 02:20:00;sin_act_cocina_comedor;0;0.333;0.179;0.206;41;41;41;0;28;28;28;0;151.606;83.881;167.453;0;0;0;0;0;0;1;30;1
2026-04-25 02:20:30;sin_act_cocina_comedor;0.281;0.291;0;0.2;41;41;41;0;28;28;28;0;151.297;112.298;151.589;0;0;0;0;0;0;1;26;1
2026-04-25 02:21:00;sin_act_cocina_comedor;0;0.268;0;0.204;41;41;41;0;28;28;28;0;151.246;89.66;152.464;0;0;0;0;0;0;1;30;1
2026-04-25 02:21:30;sin_act_cocina_comedor;0.283;0.283;0.176;0.203;41;41;41;0;28;28;28;0;11.679;11.679;151.623;1;13;1;0;0;0;1;30;1
2026-04-25 02:22:00;sin_act_cocina_comedor;0;0.283;0.18;0.208;41;41;41;0;28;28;28;0;151.915;11.679;153.887;1;30;1;0;0;0;1;30;1
2026-04-25 02:22:30;sin_act_cocina_comedor;0.274;0.274;0.191;0.191;41;41;41;0;28;28;28;0;113.653;113.139;151.915;1;30;1;0;0;0;1;30;1
2026-04-25 02:23:00;sin_act_cocina_comedor;0;0.293;0;0.223;41;41;41;0;28;28;28;0;64.038;64.038;151.555;1;30;1;0;0;0;1;21;1
2026-04-25 02:23:30;sin_act_cocina_comedor;0;0.279;0.188;0.213;41;41;41;0;28;28;28;0;64.793;5.145;149.342;1;30;1;0;0;0;1;30;1
2026-04-25 02:24:00;sin_act_cocina_comedor;0;0.281;0;0.217;41;41;41;0;28;28;28;0;64.707;64.244;152.378;1;30;1;0;0;0;1;25;1
2026-04-25 02:24:30;sin_act_cocina_comedor;0;0.266;0;0.198;41;41;41;0;28;28;28;0;65.633;63.832;154.247;0;26;1;0;0;0;1;30;1
2026-04-25 02:25:00;sin_act_cocina_comedor;0;0.296;0.181;0.21;41;41;41;0;28;28;28;0;63.884;22.261;154.127;1;29;1;0;0;0;1;25;1
2026-04-25 02:25:30;sin_act_cocina_comedor;0;0.299;0.19;0.207;41;41;41;0;28;28;28;0;173.592;63.884;173.592;1;30;1;0;0;0;1;25;1
2026-04-25 02:26:00;sin_act_cocina_comedor;0.303;0.303;0.193;0.207;41;41;41;0;28;28;28;0;65.204;63.935;208.63;0;11;1;0;0;0;1;20;1
2026-04-25 02:26:30;sin_act_cocina_comedor;0;0.323;0.176;0.195;41;41;41;0;28;28;28;0;98.818;64.312;168.379;0;0;0;0;0;0;1;30;1
2026-04-25 02:27:00;sin_act_cocina_comedor;0;0.295;0.195;0.219;41;41;41;0;28;28;28;0;154.659;64.741;154.659;0;0;0;0;0;0;1;25;1
2026-04-25 02:27:30;sin_act_cocina_comedor;0;0.287;0;0.195;41;41;41;0;28;28;28;0;152.927;64.244;154.264;0;0;0;0;0;0;1;26;1
2026-04-25 02:28:00;sin_act_cocina_comedor;0;0.299;0.185;0.198;41;41;41;0;28;28;28;0;152.927;63.884;174.244;0;0;0;0;0;0;0;25;1
2026-04-25 02:28:30;sin_act_cocina_comedor;0.264;0.281;0;0.205;41;41;41;0;28;28;28;0;153.372;64.638;198.906;0;0;0;0;0;0;1;30;1
2026-04-25 02:29:00;sin_act_cocina_comedor;0;0.275;0;0.2;41;41;41;0;28;28;28;0;152.978;64.415;153.407;0;0;0;0;0;0;1;30;1
2026-04-25 02:29:30;sin_act_cocina_comedor;0;0.293;0.185;0.22;41;41;41;0;28;28;28;0;152.978;64.261;190.348;0;0;0;0;0;0;1;30;1
2026-04-25 02:30:00;sin_act_cocina_comedor;0;0.276;0;0.19;41;41;41;0;28;28;28;0;62.306;62.306;166.938;0;0;0;0;0;0;1;30;1
2026-04-25 02:30:30;sin_act_cocina_comedor;0.264;0.279;0.176;0.205;41;41;41;0;28;28;28;0;152.944;63.781;177.743;0;0;0;0;0;0;1;30;1
2026-04-25 02:31:00;sin_act_cocina_comedor;0;0.298;0;0.199;41;41;41;0;28;28;28;0;152.549;45.104;156.442;0;0;0;0;0;0;1;25;1
2026-04-25 02:31:30;sin_act_cocina_comedor;0;0.298;0.179;0.21;41;41;41;0;28;28;28;0;152.892;63.884;154.196;0;0;0;0;0;0;1;30;1
2026-04-25 02:32:00;sin_act_cocina_comedor;0.263;0.293;0.191;0.21;41;41;41;0;28;28;28;0;153.835;63.781;178.892;0;0;0;0;0;0;1;30;1
2026-04-25 02:32:30;sin_act_cocina_comedor;0;0.287;0;0.195;41;41;41;0;28;28;28;0;65.204;64.278;153.767;0;0;0;0;0;0;1;30;1
2026-04-25 02:33:00;sin_act_cocina_comedor;0;0.285;0.212;0.212;41;41;41;0;28;28;28;0;153.355;64.312;154.316;0;0;0;0;0;0;1;30;1
2026-04-25 02:33:30;sin_act_cocina_comedor;0;0.292;0.195;0.226;41;41;41;0;28;28;28;0;152.892;62.615;153.475;0;0;0;0;0;0;1;30;1
