timestamp;activity;sala_acs712_salatv_current_last;sala_acs712_salatv_current_max;sala_c1001_sala_apnea_events_sum;sala_c1001_sala_apnea_events_max;sala_c1001_sala_heartbeat_bpm_mean;sala_c1001_sala_heartbeat_bpm_min;sala_c1001_sala_heartbeat_bpm_max;sala_c1001_sala_heartbeat_bpm_std;sala_c1001_sala_in_bed_last;sala_c1001_sala_large_body_move_sum;sala_c1001_sala_large_body_move_max;sala_c1001_sala_minor_body_move_sum;sala_c1001_sala_minor_body_move_max;sala_c1001_sala_presence_last;sala_c1001_sala_respiration_rpm_mean;sala_c1001_sala_respiration_rpm_min;sala_c1001_sala_respiration_rpm_max;sala_c1001_sala_respiration_rpm_std;sala_c1001_sala_sleep_quality_s_last;sala_c1001_sala_sleep_state_last;sala_c1001_sala_turnover_count_sum;sala_c1001_sala_turnover_count_max;sala_hc_sr04_sala_distance_last;sala_hc_sr04_sala_distance_min;sala_hc_sr04_sala_distance_max;sala_hc_sr04_salatv_distance_last;sala_hc_sr04_salatv_distance_min;sala_hc_sr04_salatv_distance_max;sala_pir_sala_1_movement_last;sala_pir_sala_1_movement_sum;sala_pir_sala_1_movement_max
2026-04-19 19:12:30+00:00;uso_sofa_sala;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;10.000000;3.000000;0.000000;0.000000;92.164000;82.389000;92.164000;260.251000;242.998000;262.532000;1.000000;22.000000;1.000000
2026-04-19 19:13:00+00:00;uso_sofa_sala;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;10.000000;3.000000;0.000000;0.000000;92.490000;82.817000;93.502000;37.198000;37.198000;260.268000;1.000000;30.000000;1.000000
2026-04-19 19:13:30+00:00;uso_sofa_sala;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;10.000000;3.000000;0.000000;0.000000;82.406000;74.311000;93.433000;38.365000;38.365000;38.536000;1.000000;30.000000;1.000000
2026-04-19 19:14:00+00:00;uso_sofa_sala;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;10.000000;3.000000;0.000000;0.000000;104.169000;83.263000;104.169000;62.100000;23.633000;62.100000;1.000000;30.000000;1.000000
2026-04-19 19:14:30+00:00;uso_sofa_sala;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;10.000000;3.000000;0.000000;0.000000;92.061000;91.684000;104.169000;60.385000;25.656000;70.023000;1.000000;30.000000;1.000000
2026-04-19 19:15:00+00:00;uso_sofa_sala;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;10.000000;3.000000;0.000000;0.000000;83.229000;81.891000;93.347000;4.699000;3.481000;67.777000;1.000000;30.000000;1.000000
2026-04-19 19:15:30+00:00;uso_sofa_sala;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;10.000000;3.000000;0.000000;0.000000;82.800000;79.730000;93.330000;23.856000;23.856000;62.615000;0.000000;18.000000;1.000000
2026-04-19 19:16:00+00:00;uso_sofa_sala;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;10.000000;3.000000;0.000000;0.000000;82.800000;68.394000;101.614000;61.448000;61.243000;68.223000;1.000000;16.000000;1.000000
2026-04-19 19:16:30+00:00;uso_sofa_sala;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;10.000000;3.000000;0.000000;0.000000;82.389000;82.389000;92.473000;0.566000;0.566000;67.640000;1.000000;30.000000;1.000000
2026-04-19 19:17:00+00:00;uso_sofa_sala;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;10.000000;3.000000;0.000000;0.000000;62.169000;62.169000;93.759000;26.051000;0.566000;63.901000;1.000000;30.000000;1.000000
2026-04-19 19:17:30+00:00;uso_sofa_sala;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;0.000000;0.000000;0.000000;0.000000;10.000000;3.000000;0.000000;0.000000;91.958000;81.977000;121.371000;2.881000;2.881000;27.303000;1.000000;29.000000;1.000000
