timestamp;activity;uso_inodoro_completado;banio_dht11_ducha_humidity_mean;banio_dht11_ducha_humidity_min;banio_dht11_ducha_humidity_max;banio_dht11_ducha_humidity_std;banio_dht11_ducha_temperature_mean;banio_dht11_ducha_temperature_min;banio_dht11_ducha_temperature_max;banio_dht11_ducha_temperature_std;banio_hc_sr04_banio_distance_mean;banio_hc_sr04_banio_distance_min;banio_hc_sr04_banio_distance_max;banio_hc_sr04_banio_distance_std;banio_hc_sr04_ducha1_distance_mean;banio_hc_sr04_ducha1_distance_min;banio_hc_sr04_ducha1_distance_max;banio_hc_sr04_ducha1_distance_std;banio_hc_sr04_ducha_distance_mean;banio_hc_sr04_ducha_distance_min;banio_hc_sr04_ducha_distance_max;banio_hc_sr04_ducha_distance_std;banio_pir_banio_1_movement_mean;banio_pir_banio_1_movement_sum;banio_pir_banio_1_movement_max;banio_pir_ducha_movement_mean;banio_pir_ducha_movement_sum;banio_pir_ducha_movement_max;banio_yf_s201_a_banio_flow_state_mean;banio_yf_s201_a_banio_flow_state_sum;banio_yf_s201_a_banio_flow_state_max;banio_yf_s201_ducha_flow_state_mean;banio_yf_s201_ducha_flow_state_sum;banio_yf_s201_ducha_flow_state_max;banio_yf_s201_lavamanos_flow_state_mean;banio_yf_s201_lavamanos_flow_state_sum;banio_yf_s201_lavamanos_flow_state_max
2026-04-17 12:18:30+00:00;sin_act_banio;;65.000000;65.000000;65.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.254967;101.219000;101.631000;0.102556;190.327533;139.448000;215.172000;35.080868;198.742800;158.226000;226.346000;17.754496;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:19:00+00:00;sin_act_banio;;65.000000;65.000000;65.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.288233;101.202000;101.648000;0.163745;182.919900;102.310000;215.172000;47.029627;198.633667;183.745000;201.478000;5.946667;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:19:30+00:00;sin_act_banio;;65.000000;65.000000;65.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.361467;101.202000;101.700000;0.210684;200.902800;130.810000;215.172000;31.883021;203.729833;183.745000;221.972000;8.856707;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:20:00+00:00;sin_act_banio;;65.000000;65.000000;65.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.254000;101.202000;101.648000;0.079172;214.976433;214.690000;215.121000;0.195266;200.856100;200.329000;201.135000;0.309437;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:20:30+00:00;sin_act_banio;;65.000000;65.000000;65.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.390667;101.236000;101.648000;0.199264;214.957100;214.690000;215.155000;0.222095;200.378900;199.403000;200.741000;0.474501;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:21:00+00:00;sin_act_banio;;64.666667;64.000000;65.000000;0.479463;24.000000;24.000000;24.000000;0.000000;101.295233;101.202000;101.648000;0.142162;215.013867;214.707000;215.138000;0.185096;200.673333;199.952000;201.101000;0.308708;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:21:30+00:00;sin_act_banio;;64.000000;64.000000;64.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.559800;101.202000;101.682000;0.187660;214.986000;214.672000;215.155000;0.201723;199.523800;195.030000;201.855000;2.335019;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:22:00+00:00;sin_act_banio;;64.000000;64.000000;64.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.524433;101.236000;101.700000;0.202172;201.257433;76.517000;215.190000;42.291090;200.701300;199.900000;201.855000;0.532176;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:22:30+00:00;sin_act_banio;;64.000000;64.000000;64.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.433600;101.236000;101.700000;0.209883;160.316067;76.517000;215.569000;55.245106;200.292567;199.866000;200.792000;0.274541;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:23:00+00:00;sin_act_banio;;64.000000;64.000000;64.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.487933;101.219000;101.700000;0.204919;207.617100;101.448000;215.621000;28.860202;200.537300;200.261000;201.169000;0.309112;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
